code_index,code_id,code_ca,id,category,trace,index,labs,epic,rna_seq,wgs,atac_seq
G10-2,G10-389,G10-[Human Feotal Primary Tissue],389,[Human Feotal Primary Tissue],G10,2,Edinburgh,FALSE,FALSE,FALSE,FALSE
G10-2-1,G10-389-377,G10-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],377,[Human Neural Stem Cell Line],389,1,Edinburgh,TRUE,TRUE,FALSE,TRUE
G10-2-1-1,G10-389-377-85,G10-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],85,[Isogenic Gene Cell Line],377,1,Spain,TRUE,FALSE,FALSE,TRUE
G10-2-1-2,G10-389-377-199,G10-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],199,[Isogenic Gene Cell Line],377,2,Edinburgh,FALSE,FALSE,FALSE,TRUE
G10-2-1-3,G10-389-377-56,G10-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],56,[Isogenic Gene Cell Line],377,3,UCL,FALSE,FALSE,FALSE,TRUE
G10-3,G10-264,G10-[Human Feotal Primary Tissue],264,[Human Feotal Primary Tissue],G10,3,Spain,TRUE,TRUE,FALSE,TRUE
G10-3-1,G10-264-58,G10-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],58,[Human Neural Stem Cell Line],264,1,Edinburgh,FALSE,TRUE,FALSE,TRUE
G10-3-1-1,G10-264-58-268,G10-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],268,[Isogenic Gene Cell Line],58,1,Spain,FALSE,FALSE,FALSE,FALSE
G10-4,G10-2,G10-[Human Feotal Primary Tissue],2,[Human Feotal Primary Tissue],G10,4,Edinburgh,TRUE,FALSE,TRUE,TRUE
G10-4-1,G10-2-248,G10-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],248,[Human Neural Stem Cell Line],2,1,UCL,TRUE,TRUE,TRUE,TRUE
G11-1,G11-247,G11-[Primary Tumour Tissue],247,[Primary Tumour Tissue],G11,1,UCL,FALSE,FALSE,FALSE,TRUE
G11-1-1,G11-247-88,G11-[Primary Tumour Tissue]-[GBM Cell Line],88,[GBM Cell Line],247,1,Edinburgh,FALSE,TRUE,TRUE,FALSE
G11-2,G11-359,G11-[Human Feotal Primary Tissue],359,[Human Feotal Primary Tissue],G11,2,Spain,TRUE,FALSE,FALSE,TRUE
G11-3,G11-335,G11-[Peripheral Blood Mononuclear Cell],335,[Peripheral Blood Mononuclear Cell],G11,3,UCL,TRUE,TRUE,TRUE,TRUE
G11-4,G11-449,G11-[Peripheral Blood Mononuclear Cell],449,[Peripheral Blood Mononuclear Cell],G11,4,Spain,TRUE,TRUE,TRUE,TRUE
G11-4-1,G11-449-53,G11-[Peripheral Blood Mononuclear Cell]-[Patient Derived Neural Stem Cell],53,[Patient Derived Neural Stem Cell],449,1,UCL,TRUE,TRUE,FALSE,TRUE
G11-5,G11-267,G11-[Peripheral Blood Mononuclear Cell],267,[Peripheral Blood Mononuclear Cell],G11,5,Spain,TRUE,TRUE,FALSE,TRUE
G11-5-1,G11-267-40,G11-[Peripheral Blood Mononuclear Cell]-[Patient Derived Neural Stem Cell],40,[Patient Derived Neural Stem Cell],267,1,Spain,TRUE,FALSE,FALSE,FALSE
G11-6,G11-493,G11-[Human Feotal Primary Tissue],493,[Human Feotal Primary Tissue],G11,6,Spain,FALSE,TRUE,FALSE,FALSE
G12-1,G12-10,G12-[Primary Tumour Tissue],10,[Primary Tumour Tissue],G12,1,Edinburgh,TRUE,TRUE,TRUE,TRUE
G12-1-1,G12-10-343,G12-[Primary Tumour Tissue]-[GBM Cell Line],343,[GBM Cell Line],10,1,UCL,TRUE,FALSE,FALSE,TRUE
G12-1-1-1,G12-10-343-340,G12-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line],340,[Engineered GBM Cell Line],343,1,UCL,FALSE,TRUE,TRUE,TRUE
G12-1-1-2,G12-10-343-50,G12-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line],50,[Engineered GBM Cell Line],343,2,Spain,TRUE,TRUE,TRUE,FALSE
G12-1-1-2-1,G12-10-343-50-22,G12-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],22,[Xenograph Derive Cell Line],50,1,UCL,FALSE,FALSE,FALSE,TRUE
G12-1-1-2-2,G12-10-343-50-194,G12-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],194,[Xenograph Derive Cell Line],50,2,Edinburgh,TRUE,TRUE,TRUE,TRUE
G12-1-1-3,G12-10-343-92,G12-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line],92,[Engineered GBM Cell Line],343,3,UCL,TRUE,FALSE,TRUE,TRUE
G12-1-1-3-1,G12-10-343-92-313,G12-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],313,[Xenograph Derive Cell Line],92,1,Edinburgh,TRUE,FALSE,TRUE,TRUE
G12-1-1-3-2,G12-10-343-92-492,G12-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],492,[Xenograph Derive Cell Line],92,2,Spain,FALSE,FALSE,TRUE,TRUE
G12-1-2,G12-10-297,G12-[Primary Tumour Tissue]-[GBM Cell Line],297,[GBM Cell Line],10,2,UCL,FALSE,TRUE,FALSE,FALSE
G12-1-2-1,G12-10-297-272,G12-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line],272,[Engineered GBM Cell Line],297,1,UCL,TRUE,TRUE,FALSE,TRUE
G12-1-2-1-1,G12-10-297-272-270,G12-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],270,[Xenograph Derive Cell Line],272,1,UCL,TRUE,TRUE,TRUE,FALSE
G12-2,G12-333,G12-[Human Feotal Primary Tissue],333,[Human Feotal Primary Tissue],G12,2,UCL,TRUE,FALSE,FALSE,FALSE
G12-2-1,G12-333-183,G12-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],183,[Human Neural Stem Cell Line],333,1,Edinburgh,TRUE,TRUE,TRUE,TRUE
G12-2-1-1,G12-333-183-260,G12-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],260,[Isogenic Gene Cell Line],183,1,UCL,FALSE,FALSE,TRUE,FALSE
G12-3,G12-120,G12-[Human Feotal Primary Tissue],120,[Human Feotal Primary Tissue],G12,3,UCL,FALSE,TRUE,FALSE,TRUE
G12-4,G12-224,G12-[Human Feotal Primary Tissue],224,[Human Feotal Primary Tissue],G12,4,Spain,TRUE,TRUE,FALSE,TRUE
G12-4-1,G12-224-423,G12-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],423,[Human Neural Stem Cell Line],224,1,Spain,FALSE,FALSE,FALSE,TRUE
G12-5,G12-62,G12-[Primary Tumour Tissue],62,[Primary Tumour Tissue],G12,5,Spain,FALSE,TRUE,TRUE,FALSE
G12-5-1,G12-62-240,G12-[Primary Tumour Tissue]-[GBM Cell Line],240,[GBM Cell Line],62,1,Spain,TRUE,TRUE,FALSE,TRUE
G12-6,G12-52,G12-[Primary Tumour Tissue],52,[Primary Tumour Tissue],G12,6,Edinburgh,TRUE,FALSE,FALSE,TRUE
G12-6-1,G12-52-47,G12-[Primary Tumour Tissue]-[GBM Cell Line],47,[GBM Cell Line],52,1,Edinburgh,FALSE,FALSE,TRUE,TRUE
G12-6-1-1,G12-52-47-251,G12-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line],251,[Engineered GBM Cell Line],47,1,Edinburgh,TRUE,FALSE,TRUE,FALSE
G12-6-1-1-1,G12-52-47-251-78,G12-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],78,[Xenograph Derive Cell Line],251,1,Spain,FALSE,FALSE,TRUE,TRUE
G12-6-1-1-2,G12-52-47-251-277,G12-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],277,[Xenograph Derive Cell Line],251,2,Edinburgh,TRUE,TRUE,FALSE,TRUE
G12-6-1-1-3,G12-52-47-251-41,G12-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],41,[Xenograph Derive Cell Line],251,3,Edinburgh,TRUE,FALSE,TRUE,FALSE
G12-6-2,G12-52-467,G12-[Primary Tumour Tissue]-[GBM Cell Line],467,[GBM Cell Line],52,2,Edinburgh,TRUE,TRUE,FALSE,TRUE
G12-6-2-1,G12-52-467-350,G12-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line],350,[Engineered GBM Cell Line],467,1,Edinburgh,TRUE,FALSE,FALSE,FALSE
G12-6-2-1-1,G12-52-467-350-489,G12-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],489,[Xenograph Derive Cell Line],350,1,Edinburgh,TRUE,TRUE,TRUE,TRUE
G12-6-2-1-2,G12-52-467-350-368,G12-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],368,[Xenograph Derive Cell Line],350,2,UCL,FALSE,TRUE,TRUE,FALSE
G12-7,G12-99,G12-[Primary Tumour Tissue],99,[Primary Tumour Tissue],G12,7,UCL,FALSE,TRUE,FALSE,FALSE
G12-7-1,G12-99-212,G12-[Primary Tumour Tissue]-[GBM Cell Line],212,[GBM Cell Line],99,1,Spain,FALSE,TRUE,FALSE,FALSE
G12-7-2,G12-99-419,G12-[Primary Tumour Tissue]-[GBM Cell Line],419,[GBM Cell Line],99,2,UCL,TRUE,TRUE,FALSE,FALSE
G12-8,G12-179,G12-[Human Feotal Primary Tissue],179,[Human Feotal Primary Tissue],G12,8,UCL,TRUE,TRUE,TRUE,TRUE
G12-8-1,G12-179-117,G12-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],117,[Human Neural Stem Cell Line],179,1,Edinburgh,TRUE,TRUE,FALSE,FALSE
G12-8-1-1,G12-179-117-444,G12-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],444,[Isogenic Gene Cell Line],117,1,UCL,TRUE,FALSE,FALSE,FALSE
G12-8-1-2,G12-179-117-133,G12-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],133,[Isogenic Gene Cell Line],117,2,UCL,TRUE,FALSE,FALSE,TRUE
G12-9,G12-73,G12-[Peripheral Blood Mononuclear Cell],73,[Peripheral Blood Mononuclear Cell],G12,9,Spain,FALSE,TRUE,FALSE,FALSE
G12-9-1,G12-73-487,G12-[Peripheral Blood Mononuclear Cell]-[Patient Derived Neural Stem Cell],487,[Patient Derived Neural Stem Cell],73,1,Spain,FALSE,FALSE,FALSE,TRUE
G12-9-2,G12-73-121,G12-[Peripheral Blood Mononuclear Cell]-[Patient Derived Neural Stem Cell],121,[Patient Derived Neural Stem Cell],73,2,Spain,TRUE,TRUE,FALSE,TRUE
G13-1,G13-261,G13-[Human Feotal Primary Tissue],261,[Human Feotal Primary Tissue],G13,1,Spain,TRUE,FALSE,FALSE,FALSE
G13-2,G13-425,G13-[Peripheral Blood Mononuclear Cell],425,[Peripheral Blood Mononuclear Cell],G13,2,UCL,TRUE,TRUE,TRUE,TRUE
G13-3,G13-106,G13-[Human Feotal Primary Tissue],106,[Human Feotal Primary Tissue],G13,3,UCL,FALSE,TRUE,TRUE,TRUE
G13-4,G13-253,G13-[Human Feotal Primary Tissue],253,[Human Feotal Primary Tissue],G13,4,Edinburgh,TRUE,TRUE,TRUE,FALSE
G13-4-1,G13-253-7,G13-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],7,[Human Neural Stem Cell Line],253,1,Edinburgh,FALSE,TRUE,TRUE,TRUE
G13-4-1-1,G13-253-7-219,G13-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],219,[Isogenic Gene Cell Line],7,1,Edinburgh,TRUE,TRUE,FALSE,FALSE
G13-4-2,G13-253-388,G13-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],388,[Human Neural Stem Cell Line],253,2,Edinburgh,TRUE,TRUE,TRUE,FALSE
G13-5,G13-9,G13-[Human Feotal Primary Tissue],9,[Human Feotal Primary Tissue],G13,5,UCL,TRUE,FALSE,TRUE,TRUE
G13-5-1,G13-9-428,G13-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],428,[Human Neural Stem Cell Line],9,1,Spain,TRUE,FALSE,TRUE,TRUE
G14-1,G14-86,G14-[Primary Tumour Tissue],86,[Primary Tumour Tissue],G14,1,UCL,TRUE,FALSE,TRUE,TRUE
G14-1-1,G14-86-109,G14-[Primary Tumour Tissue]-[GBM Cell Line],109,[GBM Cell Line],86,1,Edinburgh,TRUE,FALSE,FALSE,TRUE
G14-1-2,G14-86-242,G14-[Primary Tumour Tissue]-[GBM Cell Line],242,[GBM Cell Line],86,2,UCL,TRUE,FALSE,FALSE,TRUE
G14-2,G14-256,G14-[Human Feotal Primary Tissue],256,[Human Feotal Primary Tissue],G14,2,Spain,TRUE,TRUE,FALSE,TRUE
G14-3,G14-347,G14-[Peripheral Blood Mononuclear Cell],347,[Peripheral Blood Mononuclear Cell],G14,3,Spain,TRUE,TRUE,TRUE,FALSE
G14-4,G14-471,G14-[Peripheral Blood Mononuclear Cell],471,[Peripheral Blood Mononuclear Cell],G14,4,Edinburgh,TRUE,FALSE,FALSE,TRUE
G14-5,G14-28,G14-[Peripheral Blood Mononuclear Cell],28,[Peripheral Blood Mononuclear Cell],G14,5,Edinburgh,TRUE,FALSE,TRUE,TRUE
G15-1,G15-123,G15-[Primary Tumour Tissue],123,[Primary Tumour Tissue],G15,1,UCL,TRUE,FALSE,TRUE,FALSE
G15-1-1,G15-123-318,G15-[Primary Tumour Tissue]-[GBM Cell Line],318,[GBM Cell Line],123,1,UCL,TRUE,FALSE,FALSE,TRUE
G15-1-1-1,G15-123-318-235,G15-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line],235,[Engineered GBM Cell Line],318,1,Edinburgh,TRUE,TRUE,TRUE,TRUE
G15-1-1-1-1,G15-123-318-235-19,G15-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],19,[Xenograph Derive Cell Line],235,1,Spain,FALSE,TRUE,FALSE,TRUE
G15-2,G15-309,G15-[Peripheral Blood Mononuclear Cell],309,[Peripheral Blood Mononuclear Cell],G15,2,Edinburgh,TRUE,FALSE,TRUE,TRUE
G16-1,G16-170,G16-[Primary Tumour Tissue],170,[Primary Tumour Tissue],G16,1,Spain,TRUE,FALSE,FALSE,FALSE
G16-2,G16-364,G16-[Primary Tumour Tissue],364,[Primary Tumour Tissue],G16,2,UCL,TRUE,TRUE,TRUE,TRUE
G16-2-1,G16-364-491,G16-[Primary Tumour Tissue]-[GBM Cell Line],491,[GBM Cell Line],364,1,UCL,TRUE,TRUE,FALSE,FALSE
G16-2-1-1,G16-364-491-164,G16-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line],164,[Engineered GBM Cell Line],491,1,Spain,TRUE,TRUE,FALSE,FALSE
G16-2-2,G16-364-409,G16-[Primary Tumour Tissue]-[GBM Cell Line],409,[GBM Cell Line],364,2,Edinburgh,TRUE,TRUE,TRUE,FALSE
G16-2-2-1,G16-364-409-139,G16-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line],139,[Engineered GBM Cell Line],409,1,UCL,FALSE,TRUE,FALSE,TRUE
G16-2-2-1-1,G16-364-409-139-159,G16-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],159,[Xenograph Derive Cell Line],139,1,UCL,FALSE,TRUE,FALSE,TRUE
G16-2-2-1-2,G16-364-409-139-155,G16-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],155,[Xenograph Derive Cell Line],139,2,Edinburgh,TRUE,FALSE,FALSE,TRUE
G16-2-2-1-3,G16-364-409-139-317,G16-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],317,[Xenograph Derive Cell Line],139,3,UCL,TRUE,FALSE,TRUE,FALSE
G16-3,G16-100,G16-[Peripheral Blood Mononuclear Cell],100,[Peripheral Blood Mononuclear Cell],G16,3,UCL,FALSE,TRUE,FALSE,FALSE
G16-4,G16-282,G16-[Primary Tumour Tissue],282,[Primary Tumour Tissue],G16,4,Edinburgh,TRUE,TRUE,FALSE,FALSE
G16-4-1,G16-282-35,G16-[Primary Tumour Tissue]-[GBM Cell Line],35,[GBM Cell Line],282,1,UCL,TRUE,FALSE,FALSE,FALSE
G16-4-1-1,G16-282-35-140,G16-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line],140,[Engineered GBM Cell Line],35,1,Spain,FALSE,TRUE,TRUE,TRUE
G16-4-1-1-1,G16-282-35-140-153,G16-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],153,[Xenograph Derive Cell Line],140,1,Spain,TRUE,FALSE,TRUE,TRUE
G16-4-1-1-2,G16-282-35-140-54,G16-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],54,[Xenograph Derive Cell Line],140,2,Edinburgh,TRUE,TRUE,FALSE,TRUE
G16-4-1-1-3,G16-282-35-140-101,G16-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],101,[Xenograph Derive Cell Line],140,3,UCL,FALSE,FALSE,FALSE,TRUE
G16-4-2,G16-282-461,G16-[Primary Tumour Tissue]-[GBM Cell Line],461,[GBM Cell Line],282,2,Edinburgh,TRUE,TRUE,TRUE,TRUE
G16-4-2-1,G16-282-461-126,G16-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line],126,[Engineered GBM Cell Line],461,1,UCL,TRUE,FALSE,TRUE,TRUE
G16-4-2-1-1,G16-282-461-126-286,G16-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],286,[Xenograph Derive Cell Line],126,1,Edinburgh,TRUE,FALSE,FALSE,TRUE
G16-4-3,G16-282-39,G16-[Primary Tumour Tissue]-[GBM Cell Line],39,[GBM Cell Line],282,3,Edinburgh,TRUE,FALSE,FALSE,FALSE
G16-4-3-1,G16-282-39-211,G16-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line],211,[Engineered GBM Cell Line],39,1,UCL,TRUE,FALSE,FALSE,TRUE
G16-4-4,G16-282-402,G16-[Primary Tumour Tissue]-[GBM Cell Line],402,[GBM Cell Line],282,4,UCL,FALSE,TRUE,FALSE,FALSE
G16-4-4-1,G16-282-402-424,G16-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line],424,[Engineered GBM Cell Line],402,1,Edinburgh,TRUE,FALSE,FALSE,TRUE
G16-4-4-1-1,G16-282-402-424-485,G16-[Primary Tumour Tissue]-[GBM Cell Line]-[Engineered GBM Cell Line]-[Xenograph Derive Cell Line],485,[Xenograph Derive Cell Line],424,1,Spain,TRUE,FALSE,FALSE,TRUE
G17-1,G17-216,G17-[Human Feotal Primary Tissue],216,[Human Feotal Primary Tissue],G17,1,Spain,TRUE,TRUE,TRUE,TRUE
G18-1,G18-197,G18-[Peripheral Blood Mononuclear Cell],197,[Peripheral Blood Mononuclear Cell],G18,1,UCL,TRUE,FALSE,TRUE,TRUE
G18-1-1,G18-197-314,G18-[Peripheral Blood Mononuclear Cell]-[Patient Derived Neural Stem Cell],314,[Patient Derived Neural Stem Cell],197,1,Edinburgh,TRUE,FALSE,FALSE,FALSE
G18-10,G18-404,G18-[Peripheral Blood Mononuclear Cell],404,[Peripheral Blood Mononuclear Cell],G18,10,UCL,TRUE,FALSE,FALSE,TRUE
G18-10-1,G18-404-416,G18-[Peripheral Blood Mononuclear Cell]-[Patient Derived Neural Stem Cell],416,[Patient Derived Neural Stem Cell],404,1,Edinburgh,TRUE,TRUE,FALSE,TRUE
G18-10-2,G18-404-323,G18-[Peripheral Blood Mononuclear Cell]-[Patient Derived Neural Stem Cell],323,[Patient Derived Neural Stem Cell],404,2,Edinburgh,TRUE,TRUE,FALSE,FALSE
G18-11,G18-459,G18-[Human Feotal Primary Tissue],459,[Human Feotal Primary Tissue],G18,11,Edinburgh,FALSE,TRUE,FALSE,TRUE
G18-2,G18-401,G18-[Human Feotal Primary Tissue],401,[Human Feotal Primary Tissue],G18,2,UCL,TRUE,FALSE,FALSE,TRUE
G18-3,G18-29,G18-[Human Feotal Primary Tissue],29,[Human Feotal Primary Tissue],G18,3,Spain,TRUE,TRUE,FALSE,FALSE
G18-3-1,G18-29-470,G18-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],470,[Human Neural Stem Cell Line],29,1,Spain,TRUE,TRUE,FALSE,FALSE
G18-3-1-1,G18-29-470-406,G18-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],406,[Isogenic Gene Cell Line],470,1,UCL,TRUE,TRUE,TRUE,FALSE
G18-3-1-2,G18-29-470-263,G18-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],263,[Isogenic Gene Cell Line],470,2,Spain,TRUE,FALSE,FALSE,TRUE
G18-3-2,G18-29-161,G18-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],161,[Human Neural Stem Cell Line],29,2,Spain,FALSE,TRUE,FALSE,TRUE
G18-3-2-1,G18-29-161-300,G18-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],300,[Isogenic Gene Cell Line],161,1,UCL,TRUE,FALSE,FALSE,TRUE
G18-3-2-2,G18-29-161-246,G18-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],246,[Isogenic Gene Cell Line],161,2,UCL,TRUE,FALSE,TRUE,FALSE
G18-3-2-3,G18-29-161-176,G18-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],176,[Isogenic Gene Cell Line],161,3,Edinburgh,TRUE,TRUE,TRUE,FALSE
G18-4,G18-178,G18-[Primary Tumour Tissue],178,[Primary Tumour Tissue],G18,4,UCL,TRUE,TRUE,FALSE,FALSE
G18-5,G18-443,G18-[Human Feotal Primary Tissue],443,[Human Feotal Primary Tissue],G18,5,Spain,FALSE,FALSE,TRUE,TRUE
G18-6,G18-26,G18-[Human Feotal Primary Tissue],26,[Human Feotal Primary Tissue],G18,6,Spain,TRUE,FALSE,FALSE,FALSE
G18-7,G18-414,G18-[Peripheral Blood Mononuclear Cell],414,[Peripheral Blood Mononuclear Cell],G18,7,Spain,FALSE,FALSE,FALSE,TRUE
G18-7-1,G18-414-97,G18-[Peripheral Blood Mononuclear Cell]-[Patient Derived Neural Stem Cell],97,[Patient Derived Neural Stem Cell],414,1,UCL,TRUE,FALSE,FALSE,TRUE
G18-8,G18-447,G18-[Peripheral Blood Mononuclear Cell],447,[Peripheral Blood Mononuclear Cell],G18,8,UCL,TRUE,TRUE,FALSE,TRUE
G18-8-1,G18-447-325,G18-[Peripheral Blood Mononuclear Cell]-[Patient Derived Neural Stem Cell],325,[Patient Derived Neural Stem Cell],447,1,Edinburgh,TRUE,FALSE,TRUE,TRUE
G18-8-2,G18-447-160,G18-[Peripheral Blood Mononuclear Cell]-[Patient Derived Neural Stem Cell],160,[Patient Derived Neural Stem Cell],447,2,Spain,TRUE,FALSE,FALSE,TRUE
G18-9,G18-380,G18-[Human Feotal Primary Tissue],380,[Human Feotal Primary Tissue],G18,9,UCL,TRUE,FALSE,FALSE,FALSE
G18-9-1,G18-380-175,G18-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],175,[Human Neural Stem Cell Line],380,1,Edinburgh,FALSE,TRUE,TRUE,TRUE
G18-9-1-1,G18-380-175-316,G18-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],316,[Isogenic Gene Cell Line],175,1,UCL,TRUE,FALSE,TRUE,FALSE
G18-9-1-2,G18-380-175-363,G18-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],363,[Isogenic Gene Cell Line],175,2,Edinburgh,TRUE,FALSE,FALSE,TRUE
G18-9-2,G18-380-304,G18-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],304,[Human Neural Stem Cell Line],380,2,Spain,TRUE,TRUE,FALSE,TRUE
G19-1,G19-90,G19-[Peripheral Blood Mononuclear Cell],90,[Peripheral Blood Mononuclear Cell],G19,1,Spain,TRUE,TRUE,FALSE,TRUE
