code_index,code_id,code_ca,id,category,trace,index,labs,epic,rna_seq,wgs,atac_seq
G10-2-2,G10-71-176,G10,176,[GBM Cell Line],71,2,UCL,TRUE,FALSE,FALSE,TRUE
G10-3,G10-303,G10,303,[Primary Tumour Tissue],G10,3,Spain,TRUE,FALSE,TRUE,TRUE
G11-1,G11-148,G11,148,[Peripheral Blood Mononuclear Cell],G11,1,Edinburgh,FALSE,FALSE,FALSE,FALSE
G12-1,G12-28,G12,28,[Primary Tumour Tissue],G12,1,UCL,FALSE,TRUE,TRUE,TRUE
G12-1-1,G12-28-437,G12,437,[GBM Cell Line],28,1,Edinburgh,TRUE,FALSE,TRUE,TRUE
G12-1-1-1,G12-28-437-269,G12,269,[Engineered GBM Cell Line],437,1,UCL,TRUE,TRUE,FALSE,TRUE
G12-1-1-1-1,G12-28-437-269-454,G12,454,[Xenograph Derive Cell Line],269,1,Edinburgh,TRUE,TRUE,FALSE,TRUE
G12-1-1-1-2,G12-28-437-269-38,G12,38,[Xenograph Derive Cell Line],269,2,Edinburgh,FALSE,TRUE,FALSE,TRUE
G12-1-1-1-3,G12-28-437-269-336,G12,336,[Xenograph Derive Cell Line],269,3,UCL,FALSE,TRUE,FALSE,TRUE
G12-2,G12-481,G12,481,[Human Feotal Primary Tissue],G12,2,Spain,TRUE,TRUE,FALSE,TRUE
G12-2-1,G12-481-276,G12,276,[Human Neural Stem Cell Line],481,1,Edinburgh,TRUE,TRUE,TRUE,FALSE
G12-2-2,G12-481-418,G12,418,[Human Neural Stem Cell Line],481,2,Spain,TRUE,TRUE,TRUE,FALSE
G12-2-2-1,G12-481-418-466,G12,466,[Isogenic Gene Cell Line],418,1,Edinburgh,TRUE,TRUE,FALSE,FALSE
G12-2-3,G12-481-137,G12,137,[Human Neural Stem Cell Line],481,3,UCL,TRUE,TRUE,FALSE,TRUE
G12-2-3-1,G12-481-137-471,G12,471,[Isogenic Gene Cell Line],137,1,Edinburgh,TRUE,FALSE,FALSE,FALSE
G12-2-3-2,G12-481-137-313,G12,313,[Isogenic Gene Cell Line],137,2,Edinburgh,TRUE,FALSE,TRUE,TRUE
G12-3,G12-308,G12,308,[Primary Tumour Tissue],G12,3,UCL,TRUE,FALSE,TRUE,FALSE
G12-3-1,G12-308-495,G12,495,[GBM Cell Line],308,1,UCL,TRUE,FALSE,FALSE,TRUE
G12-4,G12-192,G12,192,[Primary Tumour Tissue],G12,4,UCL,TRUE,FALSE,TRUE,TRUE
G12-4-1,G12-192-173,G12,173,[GBM Cell Line],192,1,UCL,TRUE,TRUE,FALSE,TRUE
G12-4-1-1,G12-192-173-103,G12,103,[Engineered GBM Cell Line],173,1,Edinburgh,TRUE,FALSE,FALSE,TRUE
G13-1,G13-55,G13,55,[Human Feotal Primary Tissue],G13,1,Spain,TRUE,FALSE,FALSE,FALSE
G13-1-1,G13-55-434,G13,434,[Human Neural Stem Cell Line],55,1,Spain,TRUE,FALSE,TRUE,TRUE
G13-2,G13-494,G13,494,[Human Feotal Primary Tissue],G13,2,UCL,TRUE,FALSE,TRUE,TRUE
G13-2-1,G13-494-94,G13,94,[Human Neural Stem Cell Line],494,1,Spain,TRUE,TRUE,FALSE,TRUE
G13-2-1-1,G13-494-94-458,G13,458,[Isogenic Gene Cell Line],94,1,UCL,TRUE,FALSE,FALSE,FALSE
G13-2-1-2,G13-494-94-299,G13,299,[Isogenic Gene Cell Line],94,2,UCL,TRUE,FALSE,FALSE,TRUE
G13-3,G13-242,G13,242,[Primary Tumour Tissue],G13,3,UCL,TRUE,FALSE,TRUE,TRUE
G13-3-1,G13-242-413,G13,413,[GBM Cell Line],242,1,Edinburgh,TRUE,TRUE,FALSE,TRUE
G13-4,G13-469,G13,469,[Human Feotal Primary Tissue],G13,4,UCL,TRUE,TRUE,FALSE,TRUE
G13-5,G13-108,G13,108,[Primary Tumour Tissue],G13,5,Edinburgh,FALSE,FALSE,TRUE,TRUE
G13-5-1,G13-108-95,G13,95,[GBM Cell Line],108,1,Spain,TRUE,FALSE,TRUE,TRUE
G13-5-2,G13-108-307,G13,307,[GBM Cell Line],108,2,Edinburgh,TRUE,TRUE,FALSE,FALSE
G13-5-2-1,G13-108-307-24,G13,24,[Engineered GBM Cell Line],307,1,Edinburgh,TRUE,TRUE,TRUE,TRUE
G13-5-2-1-1,G13-108-307-24-447,G13,447,[Xenograph Derive Cell Line],24,1,Edinburgh,TRUE,FALSE,FALSE,FALSE
G13-5-2-1-2,G13-108-307-24-292,G13,292,[Xenograph Derive Cell Line],24,2,UCL,TRUE,FALSE,FALSE,TRUE
G13-5-2-2,G13-108-307-58,G13,58,[Engineered GBM Cell Line],307,2,UCL,TRUE,FALSE,TRUE,TRUE
G13-5-2-3,G13-108-307-351,G13,351,[Engineered GBM Cell Line],307,3,Edinburgh,TRUE,FALSE,FALSE,FALSE
G13-5-2-3-1,G13-108-307-351-217,G13,217,[Xenograph Derive Cell Line],351,1,Edinburgh,TRUE,FALSE,FALSE,TRUE
G13-6,G13-405,G13,405,[Human Feotal Primary Tissue],G13,6,Edinburgh,TRUE,FALSE,TRUE,FALSE
G13-6-1,G13-405-29,G13,29,[Human Neural Stem Cell Line],405,1,UCL,TRUE,TRUE,FALSE,TRUE
G13-6-1-1,G13-405-29-285,G13,285,[Isogenic Gene Cell Line],29,1,Edinburgh,TRUE,TRUE,TRUE,TRUE
G13-6-1-2,G13-405-29-265,G13,265,[Isogenic Gene Cell Line],29,2,Edinburgh,TRUE,FALSE,FALSE,TRUE
G13-6-2,G13-405-479,G13,479,[Human Neural Stem Cell Line],405,2,Edinburgh,TRUE,FALSE,TRUE,TRUE
G13-6-2-1,G13-405-479-195,G13,195,[Isogenic Gene Cell Line],479,1,UCL,TRUE,FALSE,FALSE,FALSE
G13-7,G13-492,G13,492,[Human Feotal Primary Tissue],G13,7,Spain,TRUE,TRUE,FALSE,TRUE
G13-8,G13-318,G13,318,[Peripheral Blood Mononuclear Cell],G13,8,Spain,TRUE,FALSE,TRUE,FALSE
G13-9,G13-369,G13,369,[Human Feotal Primary Tissue],G13,9,Edinburgh,FALSE,TRUE,TRUE,FALSE
G13-9-1,G13-369-288,G13,288,[Human Neural Stem Cell Line],369,1,Edinburgh,TRUE,TRUE,FALSE,FALSE
G13-9-1-1,G13-369-288-287,G13,287,[Isogenic Gene Cell Line],288,1,UCL,TRUE,TRUE,TRUE,TRUE
G13-9-1-2,G13-369-288-151,G13,151,[Isogenic Gene Cell Line],288,2,Edinburgh,TRUE,FALSE,TRUE,TRUE
G13-9-2,G13-369-157,G13,157,[Human Neural Stem Cell Line],369,2,Spain,TRUE,FALSE,TRUE,FALSE
G13-9-2-1,G13-369-157-245,G13,245,[Isogenic Gene Cell Line],157,1,Spain,TRUE,FALSE,TRUE,FALSE
G14-1,G14-349,G14,349,[Peripheral Blood Mononuclear Cell],G14,1,Spain,FALSE,TRUE,FALSE,TRUE
G14-1-1,G14-349-12,G14,12,[Patient Derived Neural Stem Cell],349,1,Edinburgh,TRUE,TRUE,TRUE,FALSE
G14-2,G14-26,G14,26,[Human Feotal Primary Tissue],G14,2,Spain,TRUE,TRUE,FALSE,TRUE
G14-2-1,G14-26-156,G14,156,[Human Neural Stem Cell Line],26,1,Edinburgh,FALSE,FALSE,FALSE,TRUE
G14-2-1-1,G14-26-156-473,G14,473,[Isogenic Gene Cell Line],156,1,Spain,FALSE,TRUE,FALSE,FALSE
G14-2-1-2,G14-26-156-226,G14,226,[Isogenic Gene Cell Line],156,2,Edinburgh,TRUE,TRUE,TRUE,TRUE
G14-2-1-3,G14-26-156-229,G14,229,[Isogenic Gene Cell Line],156,3,UCL,TRUE,FALSE,FALSE,TRUE
G14-2-1-4,G14-26-156-64,G14,64,[Isogenic Gene Cell Line],156,4,Spain,TRUE,TRUE,FALSE,TRUE
G14-2-2,G14-26-443,G14,443,[Human Neural Stem Cell Line],26,2,Edinburgh,TRUE,FALSE,TRUE,TRUE
G14-3,G14-41,G14,41,[Peripheral Blood Mononuclear Cell],G14,3,UCL,TRUE,TRUE,FALSE,TRUE
G14-3-1,G14-41-43,G14,43,[Patient Derived Neural Stem Cell],41,1,UCL,TRUE,TRUE,TRUE,TRUE
G14-4,G14-295,G14,295,[Peripheral Blood Mononuclear Cell],G14,4,UCL,TRUE,FALSE,TRUE,TRUE
G14-4-1,G14-295-101,G14,101,[Patient Derived Neural Stem Cell],295,1,Edinburgh,TRUE,TRUE,FALSE,FALSE
G14-4-2,G14-295-422,G14,422,[Patient Derived Neural Stem Cell],295,2,Edinburgh,TRUE,TRUE,FALSE,TRUE
G15-1,G15-401,G15,401,[Primary Tumour Tissue],G15,1,Edinburgh,TRUE,FALSE,TRUE,FALSE
G15-10,G15-251,G15,251,[Peripheral Blood Mononuclear Cell],G15,10,UCL,FALSE,TRUE,FALSE,FALSE
G15-10-1,G15-251-175,G15,175,[Patient Derived Neural Stem Cell],251,1,Edinburgh,TRUE,TRUE,FALSE,TRUE
G15-10-2,G15-251-396,G15,396,[Patient Derived Neural Stem Cell],251,2,Spain,TRUE,TRUE,FALSE,TRUE
G15-2,G15-183,G15,183,[Peripheral Blood Mononuclear Cell],G15,2,Spain,TRUE,FALSE,TRUE,FALSE
G15-2-1,G15-183-250,G15,250,[Patient Derived Neural Stem Cell],183,1,Spain,TRUE,TRUE,TRUE,FALSE
G15-3,G15-439,G15,439,[Human Feotal Primary Tissue],G15,3,Edinburgh,TRUE,FALSE,TRUE,TRUE
G15-3-1,G15-439-253,G15,253,[Human Neural Stem Cell Line],439,1,UCL,FALSE,TRUE,FALSE,TRUE
G15-4,G15-419,G15,419,[Primary Tumour Tissue],G15,4,UCL,TRUE,TRUE,FALSE,TRUE
G15-4-1,G15-419-294,G15,294,[GBM Cell Line],419,1,UCL,FALSE,FALSE,FALSE,FALSE
G15-4-1-1,G15-419-294-395,G15,395,[Engineered GBM Cell Line],294,1,Edinburgh,TRUE,FALSE,FALSE,TRUE
G15-4-1-1-1,G15-419-294-395-247,G15,247,[Xenograph Derive Cell Line],395,1,Spain,TRUE,TRUE,TRUE,FALSE
G15-4-1-2,G15-419-294-300,G15,300,[Engineered GBM Cell Line],294,2,Spain,TRUE,FALSE,TRUE,FALSE
G15-4-2,G15-419-468,G15,468,[GBM Cell Line],419,2,UCL,TRUE,TRUE,FALSE,FALSE
G15-4-2-1,G15-419-468-379,G15,379,[Engineered GBM Cell Line],468,1,Edinburgh,TRUE,FALSE,FALSE,FALSE
G15-4-2-1-1,G15-419-468-379-293,G15,293,[Xenograph Derive Cell Line],379,1,UCL,FALSE,FALSE,TRUE,TRUE
G15-5,G15-328,G15,328,[Human Feotal Primary Tissue],G15,5,UCL,TRUE,FALSE,FALSE,TRUE
G15-6,G15-450,G15,450,[Human Feotal Primary Tissue],G15,6,UCL,TRUE,FALSE,FALSE,TRUE
G15-6-1,G15-450-127,G15,127,[Human Neural Stem Cell Line],450,1,Edinburgh,TRUE,FALSE,FALSE,FALSE
G15-6-1-1,G15-450-127-202,G15,202,[Isogenic Gene Cell Line],127,1,Edinburgh,TRUE,FALSE,FALSE,TRUE
G15-6-1-2,G15-450-127-337,G15,337,[Isogenic Gene Cell Line],127,2,Spain,TRUE,TRUE,FALSE,TRUE
G15-6-1-3,G15-450-127-438,G15,438,[Isogenic Gene Cell Line],127,3,UCL,TRUE,FALSE,FALSE,FALSE
G15-6-2,G15-450-73,G15,73,[Human Neural Stem Cell Line],450,2,Spain,TRUE,FALSE,TRUE,TRUE
G15-6-2-1,G15-450-73-428,G15,428,[Isogenic Gene Cell Line],73,1,UCL,TRUE,TRUE,TRUE,TRUE
G15-7,G15-420,G15,420,[Peripheral Blood Mononuclear Cell],G15,7,UCL,TRUE,FALSE,FALSE,TRUE
G15-8,G15-377,G15,377,[Peripheral Blood Mononuclear Cell],G15,8,UCL,TRUE,TRUE,FALSE,FALSE
G15-8-1,G15-377-163,G15,163,[Patient Derived Neural Stem Cell],377,1,Spain,TRUE,TRUE,FALSE,FALSE
G15-9,G15-9,G15,9,[Primary Tumour Tissue],G15,9,Edinburgh,TRUE,TRUE,TRUE,TRUE
G16-1,G16-310,G16,310,[Peripheral Blood Mononuclear Cell],G16,1,Spain,TRUE,FALSE,TRUE,TRUE
G16-2,G16-282,G16,282,[Primary Tumour Tissue],G16,2,Spain,TRUE,TRUE,TRUE,TRUE
G16-2-1,G16-282-357,G16,357,[GBM Cell Line],282,1,Spain,TRUE,FALSE,FALSE,TRUE
G16-2-1-1,G16-282-357-198,G16,198,[Engineered GBM Cell Line],357,1,Spain,TRUE,FALSE,FALSE,FALSE
G16-2-1-1-1,G16-282-357-198-216,G16,216,[Xenograph Derive Cell Line],198,1,Spain,TRUE,TRUE,FALSE,FALSE
G16-2-1-1-2,G16-282-357-198-487,G16,487,[Xenograph Derive Cell Line],198,2,UCL,TRUE,FALSE,FALSE,TRUE
G16-2-1-2,G16-282-357-496,G16,496,[Engineered GBM Cell Line],357,2,Edinburgh,TRUE,TRUE,FALSE,TRUE
G16-2-1-2-1,G16-282-357-496-347,G16,347,[Xenograph Derive Cell Line],496,1,Edinburgh,FALSE,TRUE,FALSE,TRUE
G16-3,G16-429,G16,429,[Human Feotal Primary Tissue],G16,3,Edinburgh,TRUE,FALSE,TRUE,TRUE
G16-4,G16-181,G16,181,[Primary Tumour Tissue],G16,4,Edinburgh,TRUE,FALSE,TRUE,TRUE
G16-4-1,G16-181-391,G16,391,[GBM Cell Line],181,1,Edinburgh,TRUE,FALSE,FALSE,TRUE
G16-4-2,G16-181-412,G16,412,[GBM Cell Line],181,2,Spain,TRUE,FALSE,FALSE,TRUE
G16-5,G16-399,G16,399,[Primary Tumour Tissue],G16,5,Spain,TRUE,TRUE,FALSE,TRUE
G16-5-1,G16-399-132,G16,132,[GBM Cell Line],399,1,Spain,TRUE,TRUE,TRUE,TRUE
G16-5-2,G16-399-81,G16,81,[GBM Cell Line],399,2,UCL,TRUE,FALSE,TRUE,TRUE
G16-6,G16-452,G16,452,[Human Feotal Primary Tissue],G16,6,UCL,TRUE,FALSE,TRUE,FALSE
G17-1,G17-126,G17,126,[Primary Tumour Tissue],G17,1,UCL,FALSE,TRUE,FALSE,FALSE
G17-1-1,G17-126-111,G17,111,[GBM Cell Line],126,1,Spain,TRUE,FALSE,FALSE,TRUE
G17-2,G17-491,G17,491,[Human Feotal Primary Tissue],G17,2,UCL,TRUE,TRUE,FALSE,TRUE
G17-2-1,G17-491-363,G17,363,[Human Neural Stem Cell Line],491,1,Edinburgh,TRUE,TRUE,TRUE,FALSE
G17-2-1-1,G17-491-363-33,G17,33,[Isogenic Gene Cell Line],363,1,Edinburgh,TRUE,TRUE,TRUE,TRUE
G17-2-1-2,G17-491-363-257,G17,257,[Isogenic Gene Cell Line],363,2,Edinburgh,TRUE,TRUE,FALSE,TRUE
G17-3,G17-122,G17,122,[Primary Tumour Tissue],G17,3,Spain,TRUE,FALSE,TRUE,TRUE
G17-4,G17-283,G17,283,[Peripheral Blood Mononuclear Cell],G17,4,Edinburgh,TRUE,FALSE,TRUE,FALSE
G17-5,G17-361,G17,361,[Human Feotal Primary Tissue],G17,5,Edinburgh,TRUE,TRUE,FALSE,TRUE
G17-5-1,G17-361-271,G17,271,[Human Neural Stem Cell Line],361,1,UCL,TRUE,TRUE,TRUE,TRUE
G17-5-1-1,G17-361-271-128,G17,128,[Isogenic Gene Cell Line],271,1,Spain,FALSE,FALSE,FALSE,FALSE
G17-6,G17-135,G17,135,[Human Feotal Primary Tissue],G17,6,UCL,TRUE,TRUE,TRUE,TRUE
G17-6-1,G17-135-455,G17,455,[Human Neural Stem Cell Line],135,1,Spain,TRUE,FALSE,FALSE,TRUE
G17-6-1-1,G17-135-455-218,G17,218,[Isogenic Gene Cell Line],455,1,Edinburgh,FALSE,FALSE,TRUE,TRUE
G17-6-1-2,G17-135-455-61,G17,61,[Isogenic Gene Cell Line],455,2,Edinburgh,FALSE,TRUE,TRUE,FALSE
G17-6-1-3,G17-135-455-446,G17,446,[Isogenic Gene Cell Line],455,3,UCL,TRUE,FALSE,TRUE,FALSE
G17-6-2,G17-135-376,G17,376,[Human Neural Stem Cell Line],135,2,Spain,TRUE,TRUE,FALSE,TRUE
G17-6-2-1,G17-135-376-244,G17,244,[Isogenic Gene Cell Line],376,1,Edinburgh,FALSE,TRUE,TRUE,TRUE
G17-6-2-2,G17-135-376-129,G17,129,[Isogenic Gene Cell Line],376,2,Spain,FALSE,FALSE,FALSE,FALSE
G17-7,G17-117,G17,117,[Human Feotal Primary Tissue],G17,7,Spain,TRUE,TRUE,FALSE,TRUE
G17-8,G17-249,G17,249,[Primary Tumour Tissue],G17,8,Spain,TRUE,FALSE,FALSE,TRUE
G17-9,G17-278,G17,278,[Human Feotal Primary Tissue],G17,9,UCL,TRUE,TRUE,FALSE,FALSE
G17-9-1,G17-278-266,G17,266,[Human Neural Stem Cell Line],278,1,Edinburgh,TRUE,FALSE,FALSE,TRUE
G17-9-1-1,G17-278-266-335,G17,335,[Isogenic Gene Cell Line],266,1,UCL,TRUE,FALSE,TRUE,FALSE
G17-9-1-2,G17-278-266-260,G17,260,[Isogenic Gene Cell Line],266,2,UCL,FALSE,TRUE,TRUE,TRUE
G17-9-2,G17-278-372,G17,372,[Human Neural Stem Cell Line],278,2,Spain,TRUE,FALSE,TRUE,TRUE
G17-9-3,G17-278-416,G17,416,[Human Neural Stem Cell Line],278,3,Spain,TRUE,TRUE,FALSE,FALSE
G17-9-4,G17-278-355,G17,355,[Human Neural Stem Cell Line],278,4,Spain,TRUE,TRUE,FALSE,FALSE
G18-1,G18-82,G18,82,[Human Feotal Primary Tissue],G18,1,Edinburgh,TRUE,TRUE,TRUE,FALSE
G18-2,G18-105,G18,105,[Human Feotal Primary Tissue],G18,2,UCL,TRUE,TRUE,FALSE,TRUE
G18-3,G18-311,G18,311,[Human Feotal Primary Tissue],G18,3,UCL,TRUE,TRUE,TRUE,TRUE
G18-4,G18-234,G18,234,[Human Feotal Primary Tissue],G18,4,UCL,TRUE,TRUE,TRUE,TRUE
G18-5,G18-406,G18,406,[Peripheral Blood Mononuclear Cell],G18,5,UCL,TRUE,FALSE,FALSE,TRUE
G18-6,G18-385,G18,385,[Human Feotal Primary Tissue],G18,6,Edinburgh,FALSE,FALSE,FALSE,TRUE
G18-6-1,G18-385-297,G18,297,[Human Neural Stem Cell Line],385,1,Edinburgh,FALSE,TRUE,FALSE,TRUE
G18-6-1-1,G18-385-297-174,G18,174,[Isogenic Gene Cell Line],297,1,Edinburgh,TRUE,TRUE,TRUE,TRUE
G19-1,G19-267,G19,267,[Peripheral Blood Mononuclear Cell],G19,1,UCL,FALSE,TRUE,FALSE,TRUE
G19-1-1,G19-267-315,G19,315,[Patient Derived Neural Stem Cell],267,1,Spain,FALSE,TRUE,FALSE,FALSE
G19-2,G19-224,G19,224,[Primary Tumour Tissue],G19,2,Spain,TRUE,FALSE,FALSE,TRUE
G19-2-1,G19-224-62,G19,62,[GBM Cell Line],224,1,Edinburgh,FALSE,FALSE,FALSE,TRUE
G19-2-1-1,G19-224-62-146,G19,146,[Engineered GBM Cell Line],62,1,UCL,FALSE,TRUE,FALSE,TRUE
G19-2-1-1-1,G19-224-62-146-482,G19,482,[Xenograph Derive Cell Line],146,1,Spain,TRUE,TRUE,FALSE,FALSE
G19-2-2,G19-224-170,G19,170,[GBM Cell Line],224,2,UCL,TRUE,TRUE,TRUE,FALSE
G19-2-3,G19-224-289,G19,289,[GBM Cell Line],224,3,UCL,FALSE,FALSE,TRUE,FALSE
G19-2-4,G19-224-331,G19,331,[GBM Cell Line],224,4,UCL,TRUE,TRUE,TRUE,TRUE
G19-3,G19-254,G19,254,[Primary Tumour Tissue],G19,3,UCL,FALSE,FALSE,TRUE,FALSE
G19-4,G19-220,G19,220,[Peripheral Blood Mononuclear Cell],G19,4,Edinburgh,TRUE,TRUE,TRUE,TRUE
G19-4-1,G19-220-241,G19,241,[Patient Derived Neural Stem Cell],220,1,Spain,FALSE,FALSE,FALSE,TRUE
G19-4-2,G19-220-474,G19,474,[Patient Derived Neural Stem Cell],220,2,UCL,TRUE,FALSE,TRUE,FALSE
G2-1,G2-53,G2,53,[Primary Tumour Tissue],G2,1,Edinburgh,FALSE,FALSE,FALSE,TRUE
G2-10,G2-232,G2,232,[Peripheral Blood Mononuclear Cell],G2,10,Spain,TRUE,FALSE,FALSE,TRUE
G2-10-1,G2-232-154,G2,154,[Patient Derived Neural Stem Cell],232,1,Edinburgh,TRUE,FALSE,FALSE,TRUE
G2-2,G2-448,G2,448,[Human Feotal Primary Tissue],G2,2,Edinburgh,TRUE,TRUE,TRUE,FALSE
G2-2-1,G2-448-263,G2,263,[Human Neural Stem Cell Line],448,1,UCL,TRUE,FALSE,TRUE,TRUE
G2-2-2,G2-448-499,G2,499,[Human Neural Stem Cell Line],448,2,UCL,TRUE,TRUE,FALSE,TRUE
G2-3,G2-290,G2,290,[Primary Tumour Tissue],G2,3,UCL,TRUE,TRUE,FALSE,TRUE
G2-3-1,G2-290-121,G2,121,[GBM Cell Line],290,1,Spain,TRUE,FALSE,TRUE,TRUE
G2-3-1-1,G2-290-121-453,G2,453,[Engineered GBM Cell Line],121,1,Spain,FALSE,TRUE,FALSE,TRUE
G2-3-1-1-1,G2-290-121-453-240,G2,240,[Xenograph Derive Cell Line],453,1,Edinburgh,TRUE,TRUE,FALSE,TRUE
G2-3-1-2,G2-290-121-155,G2,155,[Engineered GBM Cell Line],121,2,Edinburgh,TRUE,TRUE,FALSE,FALSE
G2-3-2,G2-290-477,G2,477,[GBM Cell Line],290,2,Spain,TRUE,TRUE,FALSE,TRUE
G2-3-2-1,G2-290-477-133,G2,133,[Engineered GBM Cell Line],477,1,Edinburgh,TRUE,TRUE,TRUE,FALSE
G2-3-2-1-1,G2-290-477-133-225,G2,225,[Xenograph Derive Cell Line],133,1,Spain,TRUE,FALSE,FALSE,FALSE
G2-3-3,G2-290-339,G2,339,[GBM Cell Line],290,3,Edinburgh,TRUE,FALSE,FALSE,TRUE
G2-3-3-1,G2-290-339-268,G2,268,[Engineered GBM Cell Line],339,1,Spain,TRUE,FALSE,TRUE,TRUE
G2-3-3-1-1,G2-290-339-268-45,G2,45,[Xenograph Derive Cell Line],268,1,Spain,TRUE,FALSE,FALSE,TRUE
G2-3-4,G2-290-233,G2,233,[GBM Cell Line],290,4,Edinburgh,TRUE,TRUE,TRUE,TRUE
G2-3-4-1,G2-290-233-227,G2,227,[Engineered GBM Cell Line],233,1,Edinburgh,TRUE,FALSE,FALSE,FALSE
G2-3-4-1-1,G2-290-233-227-246,G2,246,[Xenograph Derive Cell Line],227,1,Spain,TRUE,TRUE,TRUE,TRUE
G2-3-4-2,G2-290-233-449,G2,449,[Engineered GBM Cell Line],233,2,Spain,FALSE,TRUE,FALSE,FALSE
G2-3-4-2-1,G2-290-233-449-417,G2,417,[Xenograph Derive Cell Line],449,1,Edinburgh,TRUE,FALSE,FALSE,TRUE
G2-3-4-3,G2-290-233-131,G2,131,[Engineered GBM Cell Line],233,3,Spain,TRUE,TRUE,FALSE,TRUE
G2-3-4-3-1,G2-290-233-131-252,G2,252,[Xenograph Derive Cell Line],131,1,Edinburgh,TRUE,TRUE,FALSE,FALSE
G2-3-4-3-2,G2-290-233-131-305,G2,305,[Xenograph Derive Cell Line],131,2,Spain,TRUE,TRUE,FALSE,TRUE
G2-4,G2-113,G2,113,[Primary Tumour Tissue],G2,4,Spain,TRUE,TRUE,FALSE,FALSE
G2-4-1,G2-113-188,G2,188,[GBM Cell Line],113,1,Spain,TRUE,TRUE,FALSE,TRUE
G2-4-1-1,G2-113-188-4,G2,4,[Engineered GBM Cell Line],188,1,Spain,TRUE,FALSE,FALSE,TRUE
G2-4-1-1-1,G2-113-188-4-364,G2,364,[Xenograph Derive Cell Line],4,1,Spain,TRUE,TRUE,TRUE,TRUE
G2-4-2,G2-113-68,G2,68,[GBM Cell Line],113,2,Spain,TRUE,TRUE,FALSE,FALSE
G2-5,G2-411,G2,411,[Human Feotal Primary Tissue],G2,5,UCL,TRUE,TRUE,TRUE,FALSE
G2-6,G2-273,G2,273,[Peripheral Blood Mononuclear Cell],G2,6,Spain,TRUE,TRUE,FALSE,TRUE
G2-6-1,G2-273-432,G2,432,[Patient Derived Neural Stem Cell],273,1,UCL,TRUE,TRUE,FALSE,TRUE
G2-6-2,G2-273-441,G2,441,[Patient Derived Neural Stem Cell],273,2,Spain,TRUE,TRUE,FALSE,TRUE
G2-6-3,G2-273-483,G2,483,[Patient Derived Neural Stem Cell],273,3,UCL,FALSE,FALSE,FALSE,FALSE
G2-7,G2-425,G2,425,[Primary Tumour Tissue],G2,7,Edinburgh,TRUE,TRUE,TRUE,TRUE
G2-7-1,G2-425-464,G2,464,[GBM Cell Line],425,1,Edinburgh,TRUE,FALSE,TRUE,FALSE
G2-7-1-1,G2-425-464-460,G2,460,[Engineered GBM Cell Line],464,1,Edinburgh,TRUE,FALSE,TRUE,TRUE
G2-7-2,G2-425-76,G2,76,[GBM Cell Line],425,2,UCL,TRUE,TRUE,FALSE,TRUE
G2-7-2-1,G2-425-76-115,G2,115,[Engineered GBM Cell Line],76,1,UCL,TRUE,FALSE,TRUE,TRUE
G2-7-2-1-1,G2-425-76-115-388,G2,388,[Xenograph Derive Cell Line],115,1,Edinburgh,TRUE,TRUE,FALSE,FALSE
G2-7-2-1-2,G2-425-76-115-199,G2,199,[Xenograph Derive Cell Line],115,2,Spain,TRUE,TRUE,FALSE,TRUE
G2-8,G2-8,G2,8,[Peripheral Blood Mononuclear Cell],G2,8,Spain,TRUE,TRUE,FALSE,TRUE
